type,category,amount,date,note
expense,transport,77.31,2025-06-17,Sample expense in transport
income,investment,1235.12,2025-07-01,Sample income in investment
expense,health,80.42,2025-08-11,Sample expense in health
expense,food,64.41,2025-07-02,Sample expense in food
income,salary,2356.64,2025-09-21,Sample income in salary
expense,transport,1.0,2025-09-10,Sample expense in transport
expense,bills,66.9,2025-05-04,Sample expense in bills
expense,bills,62.94,2025-06-11,Sample expense in bills
expense,health,78.89,2025-08-05,Sample expense in health
expense,bills,4.55,2025-07-21,Sample expense in bills
expense,food,51.75,2025-07-14,Sample expense in food
expense,bills,82.94,2025-07-21,Sample expense in bills
expense,health,52.97,2025-07-14,Sample expense in health
expense,transport,88.82,2025-06-01,Sample expense in transport
income,freelance,2594.1,2025-08-04,Sample income in freelance
expense,health,19.4,2025-08-22,Sample expense in health
expense,transport,31.59,2025-08-26,Sample expense in transport
income,investment,2665.88,2025-05-01,Sample income in investment
expense,bills,57.35,2025-06-16,Sample expense in bills
income,salary,1858.17,2025-05-11,Sample income in salary
income,freelance,2030.75,2025-07-14,Sample income in freelance
income,salary,1357.45,2025-09-08,Sample income in salary
expense,transport,60.01,2025-05-02,Sample expense in transport
expense,entertainment,16.07,2025-07-30,Sample expense in entertainment
income,freelance,1820.44,2025-09-01,Sample income in freelance
expense,health,54.24,2025-09-10,Sample expense in health
income,salary,1814.12,2025-07-04,Sample income in salary
income,freelance,1761.61,2025-08-03,Sample income in freelance
expense,entertainment,104.16,2025-08-06,Sample expense in entertainment
expense,bills,52.04,2025-07-06,Sample expense in bills
expense,bills,41.81,2025-09-15,Sample expense in bills
income,investment,2739.58,2025-07-24,Sample income in investment
expense,transport,51.26,2025-05-05,Sample expense in transport
expense,entertainment,48.78,2025-08-20,Sample expense in entertainment
income,salary,1757.86,2025-08-11,Sample income in salary
expense,bills,43.48,2025-08-01,Sample expense in bills
expense,entertainment,49.32,2025-05-02,Sample expense in entertainment
expense,food,38.09,2025-07-18,Sample expense in food
expense,entertainment,1.0,2025-06-11,Sample expense in entertainment
income,freelance,2508.84,2025-05-02,Sample income in freelance
expense,entertainment,37.65,2025-08-15,Sample expense in entertainment
income,salary,2417.64,2025-08-22,Sample income in salary
expense,food,68.73,2025-05-30,Sample expense in food
expense,bills,78.8,2025-09-04,Sample expense in bills
expense,health,1.0,2025-05-23,Sample expense in health
expense,shopping,56.63,2025-06-30,Sample expense in shopping
expense,shopping,47.95,2025-07-15,Sample expense in shopping
expense,bills,19.81,2025-07-09,Sample expense in bills
expense,transport,34.01,2025-08-04,Sample expense in transport
expense,transport,43.98,2025-07-13,Sample expense in transport
income,salary,2378.13,2025-07-18,Sample income in salary
expense,food,88.45,2025-08-01,Sample expense in food
expense,shopping,51.2,2025-09-06,Sample expense in shopping
income,investment,2008.76,2025-06-01,Sample income in investment
expense,health,90.83,2025-08-05,Sample expense in health
expense,shopping,42.88,2025-09-03,Sample expense in shopping
expense,shopping,48.61,2025-07-05,Sample expense in shopping
expense,transport,81.03,2025-09-11,Sample expense in transport
expense,health,61.86,2025-08-16,Sample expense in health
expense,shopping,81.48,2025-06-18,Sample expense in shopping
expense,shopping,72.18,2025-08-28,Sample expense in shopping
income,salary,1634.37,2025-06-12,Sample income in salary
income,investment,1020.4,2025-06-27,Sample income in investment
expense,food,54.45,2025-05-20,Sample expense in food
expense,entertainment,29.77,2025-08-01,Sample expense in entertainment
expense,food,59.18,2025-07-02,Sample expense in food
expense,food,54.37,2025-04-26,Sample expense in food
expense,bills,46.91,2025-05-12,Sample expense in bills
expense,health,39.85,2025-06-07,Sample expense in health
expense,food,28.14,2025-06-17,Sample expense in food
expense,health,44.86,2025-05-08,Sample expense in health
expense,entertainment,43.01,2025-05-25,Sample expense in entertainment
expense,entertainment,102.96,2025-05-22,Sample expense in entertainment
expense,bills,55.97,2025-07-22,Sample expense in bills
expense,bills,1.0,2025-06-30,Sample expense in bills
expense,food,35.81,2025-06-24,Sample expense in food
expense,transport,113.65,2025-05-03,Sample expense in transport
expense,health,19.18,2025-06-15,Sample expense in health
income,salary,3196.56,2025-08-29,Sample income in salary
income,freelance,1514.0,2025-09-03,Sample income in freelance
expense,food,39.92,2025-07-06,Sample expense in food
expense,health,19.49,2025-05-14,Sample expense in health
expense,entertainment,76.63,2025-06-06,Sample expense in entertainment
income,investment,2012.46,2025-07-19,Sample income in investment
expense,transport,78.76,2025-07-27,Sample expense in transport
expense,food,84.7,2025-08-18,Sample expense in food
expense,bills,25.56,2025-06-28,Sample expense in bills
expense,food,40.25,2025-06-24,Sample expense in food
expense,food,71.17,2025-06-26,Sample expense in food
income,salary,2212.64,2025-06-20,Sample income in salary
expense,food,53.23,2025-07-22,Sample expense in food
expense,food,42.42,2025-05-20,Sample expense in food
income,investment,925.56,2025-09-08,Sample income in investment
expense,entertainment,75.4,2025-05-20,Sample expense in entertainment
expense,transport,70.75,2025-04-27,Sample expense in transport
expense,bills,27.59,2025-08-22,Sample expense in bills
expense,entertainment,62.61,2025-09-20,Sample expense in entertainment
expense,bills,70.04,2025-06-14,Sample expense in bills
income,investment,1744.77,2025-06-28,Sample income in investment
income,salary,1905.55,2025-08-25,Sample income in salary
